artist	main_genre
249764	rock
1433139	alternative
90959	rock
1124823	latin
123078	electronic
359558	rock
40276	pop
701854	country
496954	pop
187546	rock
1357102	rock
554405	pop
205369	blues
170402	electronic
984768	electronic
1584493	electronic
2121344	pop
905790	rock
996655	country
1407673	rock
900796	country
3046089	r&b/soul
2012856	rock
60554	pop
2146502	electronic
4107132	rock
1687927	rock
46494	electronic
214943	rock
2549115	electronic
1220411	alternative
138504	alternative
1208311	country
1188113	classical
2610696	country
3061211	jazz
725061	latin
1306214	rock
458627	electronic
802003	rock
917940	pop
3364175	electronic
12616	alternative
578860	rock
4044102	electronic
85710	rock
1567086	hip-hop/rap
1919084	rock
2638062	alternative
98332	electronic
60257	pop
330904	alternative
1574479	alternative
117844	pop
2362436	electronic
2458124	rock
1317300	rock
891758	country
2530455	alternative
1080980	hip-hop/rap
1936273	hip-hop/rap
586864	alternative
1089126	dance
378334	electronic
348891	pop
4251487	blues
784754	rock
4617931	rock
307364	r&b/soul
217683	classical
490957	country
2364377	pop
2638096	dance
382732	alternative
1921349	pop
419962	pop
22262	pop
520586	rock
1557592	electronic
2768143	classical
1146716	jazz
273045	hip-hop/rap
2086384	jazz
520460	rock
1794475	jazz
313103	pop
2412111	rock
901199	pop
2048086	electronic
765064	electronic
133382	electronic
2500469	pop
38336	classical
1415777	rock
1525242	electronic
1304868	electronic
1286833	pop
1506043	rock
857680	electronic
553130	rock
60724	electronic
3396110	jazz
138498	hip-hop/rap
12967	alternative
3335195	rock
129112	dance
1636462	rock
2834376	rock
977030	r&b/soul
22415	classical
4441684	rock
480228	r&b/soul
2214715	electronic
282810	classical
2133478	rock
738112	pop
4007146	rock
2210144	hip-hop/rap
937182	r&b/soul
451386	r&b/soul
865291	r&b/soul
1064114	electronic
215874	alternative
83567	pop
1289002	electronic
1843742	pop
1574989	electronic
2097611	hip-hop/rap
4347521	classical
308058	pop
3169798	electronic
1061465	rock
58349	rock
418793	pop
27330	r&b/soul
30313	hip-hop/rap
484172	latin
3290793	country
220092	electronic
1926334	alternative
1249428	jazz
2462750	electronic
22000	classical
737023	dance
108692	hip-hop/rap
